100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
96.0,4.898979485566356,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Sitting
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
100.0,0.0,Standing
